word,last_mentioned_on,part_of_speech,meanings
abane,,,"Fazer vento com o movimento do abano ou leque. | Agitar o ar. | Sacudir, mover: abanar a cabeca."
abano,,substantivo masculino,"Objeto em forma de leque que se usa para aticar o fogo; ventarola. | Tipografia  Placa usada para separar os jornais em quantidades determinadas. | [Brasil] Gir. Orelha, ouvido."
abara,,substantivo masculino,"[Brasil] Bolinho enrolado em folha de bananeira e feito com massa de feijao, temperado com pimenta e azeite-de-dende."
abare,,,
abate,,substantivo masculino,"Acao ou efeito de abater; abatimento, diminuicao. | Acao de matar animais para o consumo humano ou processo de criacao desse animais para serem consumidos: boi para o abate. | Reducao no preco de um produto; desconto, abatimento. | Derrubada de arvores."
abati,,substantivo masculino,"Milho (Zea mais): ""Assim e que, na mandioca, vinham procurar o honesto pao de trigo, no pinhao da araucaria, a castanha europeia; no abati, o milho, milho alvo do reino"" (Sergio Buarque de Holanda). | Arroz."
abaxo,,,
abaza,,,
abcaz,,,
abece,,substantivo masculino,"Abecedario. | Pequeno livro que contem o alfabeto. | [Figurado] Primeiros elementos de uma arte, ou ciencia."
abeco,,,
abeto,,substantivo masculino,"Arvores coniferas da familia das pinaceas, de folhagem sempre verde. | E a designacao comum dos generos Abies e Picea. As principais caracteristicas que permitem distinguir os dois generos sao a disposicao dos cones, a liberacao das escamas e o tipo de agulhas que cada um possui. As plantas do genero Picea tambem recebem o nome de epiceas. Ha cerca de 40 especies desse genero nativas do hemisferio norte, desde a regiao artica ate a cadeia de montanhas dos Pireneus, na Europa, e nos estados de Carolina do Norte e Arizona, nos E.U.A."
abezo,,,
abibe,,substantivo masculino,"Ave europeia da familia das pernaltas, semelhante ao quero-quero."
abner,,,
abobe,,,Abobe vem do verbo abobar.
abobe,,,"Tornar bobo. | [Popular] Estarrecer, abismar. | Fazer-se de bobo."
abobo,,,
aboco,,substantivo masculino,"[Nautica] Extremidade do cabo virador, que aboca ou prende."
abofe,,adverbio,"A boa fe, francamente, por certo, sinceramente."
aboie,,,"Aboie vem do verbo aboiar. O mesmo que: paire, flutue, vague."
aboie,,,Dirigir ao gado canto monotono e triste com o fim de reuni-lo ou guia-lo. | Trabalhar com bois.
aboio,,substantivo masculino,"[Brasil] Canto monotono do vaqueiro, dirigido a boiada."
abola,,substantivo feminino,"[Antiguidade] Manto usado pelos soldados romanos; clamide. | Abola cenatoria: a que se usava nos festins, ampla e com bordados preciosos. | Abola major: manto comprido, usado pelos filosofos gregos."
abono,,substantivo masculino,"Abonacao, autenticacao. | Garantia, fianca. | Adiantamento em dinheiro por conta de vencimentos. | Defesa, elogio, aprovacao: falar em abono de alguem. | [Brasil] Gratificacao: abono de Natal. | (RS) Adubo."
abota,,,
abrao,,,
abreu,,substantivo masculino,[Entomologia] Nome de uma abelha do Ceara (Trigona varia); O mesmo que moca-branca.
abria,,,"Abria vem do verbo abrir. O mesmo que: destampava, destapava, penetrava, perfurava, abduzia, franqueava, furava, inaugurava, instalava."
abria,,,"Transpor o que estava fechado: abrir uma porta. | Retirar o que esta fechando um espaco, superficie etc.; descerrar: abrir uma embalagem. | Mover a tampa; destapar, destampar: abrir a panela."
abril,,substantivo masculino,"O quarto mes do ano composto por trinta dias. | [Figurado] Vigor; o que expressa juventude. | [Gramatica] Segundo o novo Acordo Ortografico, os meses do ano perdem a inicial maiuscula: abril. | Nao confundir com: abriu."
abrir,,verbo transitivo direto,"Transpor o que estava fechado: abrir uma porta. | Retirar o que esta fechando um espaco, superficie etc.; descerrar: abrir uma embalagem. | Mover a tampa; destapar, destampar: abrir a panela. | Desobstruir um caminho, passagem; franquear: abrir a mata, uma estrada. | Tornar conhecido; desvendar: abrir novas perspectivas de carreira. | Fazer uma incisao; furar: abrir uma veia, um buraco. | [Figurado] Comecar alguma coisa; inaugurar: abrir o baile. | Estabelecer algo; instalar, fundar: abrir uma escola. | Tirar os botoes das casas; desabotoar: abrir a camisa. | Deixar aberto; esticar, estender: abrir os bracos. | Fazer entalhe; esculpir em madeira ou outro material; entalhar: abrir a madeira. | Ser mais amigavel, compreensivo: seus elogios abriram o coracao da filha. | Causar uma reacao, um estimulo (fisico ou mental): seus conselhos abriram minha cabeca. | [Fonetica] Articular um som, vogal, com maior abertura. | [Informatica] Ter acesso ou tornar algo acessivel; acessar: abrir um arquivo."
abrir,,verbo transitivo direto e intransitivo,"Separar, afastar o que esta junto: abrir os labios; o atleta abriu vantagem em relacao aos demais. | Estar autorizado a passar: abrir o sinal, o semaforo; o sinal abriu."
abrir,,verbo bitransitivo,"Deixar acessivel, disponivel para todos: abrir a cidade para os turistas."
abrir,,verbo intransitivo e pronominal,"Fazer abrir (falando de flores); desabrochar, desabotoar: as rosas abriram; plantas que abrem. | Demonstrar sentimentos; contar seus segredos a alguem; desabafar: abriu com o irmao; nao conseguia se abrir facilmente."
abrir,,verbo intransitivo,Estar aberto: loja que abre aos domingos. | Dar acesso: esta porta abre para o jardim. | Deslocar-se para outro caminho: abrir o carro mais para a direita. | Melhorar as condicoes climatericas: o ceu abriu. | Passar a ter funcionamento: a escola abre as 7h da manha.
abrir,,substantivo masculino,"Acao de abrir, de passar pelo que estava fechado: o abrir dos olhos."
abrir,,expressao,"[Popular] Abrir o jogo. Falar com franqueza, dizer logo o que esta pensando. | Abrir passagem. Franquear o caminho."
abris,,,"Abris vem do verbo abrir. O mesmo que: destampais, destapais, penetrais, perfurais, abduzis, franqueais, furais, inaugurais, instalais."
abris,,,"Transpor o que estava fechado: abrir uma porta. | Retirar o que esta fechando um espaco, superficie etc.; descerrar: abrir uma embalagem. | Mover a tampa; destapar, destampar: abrir a panela."
abriu,,substantivo deverbal,"Acao de abrir; ato de deixar de estar fechado, de fazer com que haja desuniao das partes ligadas, de separar o que fecha ou de deixar entrar: abriu a porta, a janela. | Acao de fazer funcionar, de tornar algo acessivel: a universidade abriu suas instalacoes para o processo de inscricao. | Acao de expressar os sentimentos: comigo ele se abriu! | Nao confundir com: abril."
abuja,,,
abuso,,substantivo masculino,"Uso mau, excessivo ou injusto: fazer abuso da propria forca. | Ausencia de justica, ordem; injustica, desordem, excesso: cometem-se muitos abusos. | Transgressao de bons costumes: seu comportamento aqui em casa e um abuso! | Algo, situacao ou circunstancia que causa aborrecimento; desgosto. | Excesso de comida ou de bebida: foi internado por abuso de substancias ilicitas."
abuso,,expressao,"Abuso sexual de menores. Exploracao do corpo e da sexualidade de criancas e adolescentes, efetivada atraves da forca ou de outro meio de coercao, que um adulto usa para envolver criancas e adolescentes em atividades sexuais improprias. | Abuso de autoridade. Ato de um funcionario que vai alem de suas atribuicoes. | Abuso de confianca. Acao de abusar da confianca de alguem. | Abuso de direito. Acao que consiste em ultrapassar os limites consignados ao exercicio de um direito."
acaba,,,"Acaba vem do verbo acabar. O mesmo que: termina, conclui, perfaze, perfaz, mata, destroi, finaliza, fracassa, arruina."
acaba,,,"Levar a seu termo, ao fim; perfazer, concluir, terminar: acabar uma tarefa para o trabalho; nosso casamento se acabou com o tempo. | Dar cabo; matar, destruir, aniquilar: o trabalho acabou com ele. | Chegar ao fim; finalizar: o atleta acabou a prova em primeiro."
acabe,,,"Acabe vem do verbo acabar. O mesmo que: termine, conclua, perfaca, mate, destrua, finalize, fracasse, arruine, decaia."
acabe,,,"Levar a seu termo, ao fim; perfazer, concluir, terminar: acabar uma tarefa para o trabalho; nosso casamento se acabou com o tempo. | Dar cabo; matar, destruir, aniquilar: o trabalho acabou com ele. | Chegar ao fim; finalizar: o atleta acabou a prova em primeiro."
acabo,,substantivo masculino,"Acabamento. | Cabo, conclusao, fim."
acair,,,
acaju,,substantivo masculino,"Arvore da America e das Indias, cuja madeira e avermelhada, muito dura, conhecida na marcenaria pelo nome de mogno. | Essencia para tintura, de cor avermelhada: cabelo a acaju."
acara,,substantivo masculino,[Brasil] O mesmo que acaraje. | [Brasil] Designacao vulgar de varias especies de peixes.
acari,,substantivo masculino,[Brasil] Nome de diversos peixes de agua doce; cascudo. | Macaco da Amazonia.
acaro,,substantivo masculino,"Pequeno animal aracnideo, da ordem dos acarinos, que vive como parasito de plantas ou animais e, com sua picada, pode transmitir certas doencas. | Aracnideo que produz a sarna."
acaso,,substantivo masculino,Causa ficticia de acontecimentos que aparentemente so estao subordinados a lei das probabilidades: confiou no acaso e venceu. | Acontecimento imprevisto; acidente: o acaso daquele encontro. | Sequencia de eventos cuja origem nao depende da vontade; sorte.
acaso,,adverbio,"Imprevistamente, porventura; talvez: se acaso voltar, faca-o esperar. | De modo eventual, casual; eventualmente: acaso o onibus passara?"
acaso,,locucao adverbial,Ao acaso. Sem refletir nem medir as consequencias.
acata,,substantivo masculino,[Botanica] Variedade de bananeira (Musa paradisiaca).
acaua,,,
accao,,substantivo feminino,"Efeito ou consequencia de agir, de fazer, acontecer, ocorrer. | [Gramatica] Forma alterada apos Acordo Ortografico; ver: acao."
aceno,,substantivo masculino,"Movimento significativo da cabeca, olhos ou maos. | Chamamento, convite. | [Figurado] Tentacao, seducao: os acenos da fama."
acesa,,adjetivo,"Ligado por uma corrente eletrica: luz, lampada acesa. | Que esta queimando; em brasa ou em chamas: vela acesa. | [Figurado] Excesso de entusiasmo; excitacao. | Em que ha intensidade, ardor, veemencia: paixao acesa. | Com os sentidos apurados; atento: estava acesa com a discussao. | Que esta nervoso, irritado: fiquei acesa com aquela critica."
aceso,,adjetivo,Que esta queimando; em brasas ou muito quente: vela acesa. | Ligado por meio de uma corrente eletrica; ligado: luz acesa. | [Figurado] Excesso de empolgacao; em que ha entusiasmo: excitado: os alunos acesos nao deixavam o professor trabalhar. | Cujos sentidos estao despertados e/ou estimulados; atento. | Com intensidade e ardor; ardente: amor aceso. | Em que ha irritacao; irritado: estava aceso pelas criticas injustas. | De coloracao avermelhada; diz-se do rosto corado: aceso de vergonha.
aceta,,,Aceta vem do verbo acetar. O mesmo que: acetifica.
aceta,,,Fazer com que fique acido atraves da utilizacao de vinagre; azedar ou azedar-se; acetificar.
acete,,,Acete vem do verbo acetar. O mesmo que: acetifique.
acete,,,Fazer com que fique acido atraves da utilizacao de vinagre; azedar ou azedar-se; acetificar.
aceto,,substantivo masculino,"[Quimica]  O mesmo que vinagre. | Solucao de substancias aromaticas em uma mistura de acido acetico, alcool e agua. | Preparacao liquida feita pela extracao de uma droga vegetal com acido acetico diluido."
achai,,,"Achai vem do verbo achar. O mesmo que: descobri, encontrai, obtende, alcancai, julgai, suponde, considerai, opinai, pensai."
achai,,,"Encontrar (procurando ou nao): achou a carteira perdida. | [Figurado] Buscar algo desconhecido; descobrir: achar uma nova formula. | [Figurado] Fazer um julgamento, uma consideracao; julgar, supor, considerar: achou o livro bem escrito."
acham,,,"Acham vem do verbo achar. O mesmo que: descobrem, encontram, obtem, alcancam, julgam, supoem, consideram, opinam, pensam."
acham,,,"Encontrar (procurando ou nao): achou a carteira perdida. | [Figurado] Buscar algo desconhecido; descobrir: achar uma nova formula. | [Figurado] Fazer um julgamento, uma consideracao; julgar, supor, considerar: achou o livro bem escrito."
achar,,verbo transitivo direto,"Encontrar (procurando ou nao): achou a carteira perdida. | [Figurado] Buscar algo desconhecido; descobrir: achar uma nova formula. | [Figurado] Fazer um julgamento, uma consideracao; julgar, supor, considerar: achou o livro bem escrito. | [Figurado] Obter o que se almeja; alcancar: achar a fama. | [Figurado] Possuir determinada sensacao, sentimento etc.: achar a felicidade nas coisas simples."
achar,,verbo pronominal,"Estar num lugar, ou em companhia de alguem; encontrar-se: achava-se na sala quando ouviu os gritos. | Julgar-se, considerar-se: achava-se apto para a funcao."
achar,,verbo transitivo direto e transitivo direto predicativo,"Possuir certo ponto de vista, opiniao; opinar: acho que ele vai ganhar."
achar,,verbo transitivo direto predicativo e pronominal,Ponderar sobre alguma coisa; pensar: acharam-na problematica.
achar,,verbo intransitivo,Fazer uma afirmacao sobre algo; julgar: nao era isso que achava.
achar,,substantivo masculino,[Culinaria] Picles indiano.
achas,,,"Achas vem do verbo achar. O mesmo que: descobres, encontras, obtens, alcancas, julgas, supoes, consideras, opinas, pensas."
achas,,,"Encontrar (procurando ou nao): achou a carteira perdida. | [Figurado] Buscar algo desconhecido; descobrir: achar uma nova formula. | [Figurado] Fazer um julgamento, uma consideracao; julgar, supor, considerar: achou o livro bem escrito."
achei,,,"Achei vem do verbo achar. O mesmo que: descobri, encontrei, obtive, alcancei, julguei, supus, considerei, opinei, pensei."
achei,,,"Encontrar (procurando ou nao): achou a carteira perdida. | [Figurado] Buscar algo desconhecido; descobrir: achar uma nova formula. | [Figurado] Fazer um julgamento, uma consideracao; julgar, supor, considerar: achou o livro bem escrito."
achem,,substantivo masculino e feminino,"Individuo dos achens, povo antigo da Indonesia."
achem,,adjetivo,Pertencente ou relativo a esse povo.
achem,,substantivo feminino,Tipo de balanca de origem chinesa.
aches,,,"Aches vem do verbo achar. O mesmo que: descubras, encontres, obtenhas, alcances, julgues, suponhas, consideres, opines, penses."
aches,,,"Encontrar (procurando ou nao): achou a carteira perdida. | [Figurado] Buscar algo desconhecido; descobrir: achar uma nova formula. | [Figurado] Fazer um julgamento, uma consideracao; julgar, supor, considerar: achou o livro bem escrito."
achou,,,"Achou vem do verbo achar. O mesmo que: descobriu, encontrou, obteve, alcancou, julgou, supos, considerou, opinou, pensou."
achou,,,"Encontrar (procurando ou nao): achou a carteira perdida. | [Figurado] Buscar algo desconhecido; descobrir: achar uma nova formula. | [Figurado] Fazer um julgamento, uma consideracao; julgar, supor, considerar: achou o livro bem escrito."
acido,,adjetivo,Que tem sabor azedo: o limao e acido. | [Figurado] Desagradavel: tom acido.
acido,,substantivo masculino,"Quimica  Composto de hidrogenio, de cuja dissolucao na agua resultam ions H+, e que age sobre as bases e sobre numerosos metais, formando sais pela substituicao, pelo metal, do hidrogenio que entra em sua composicao. (O acido muda para vermelho a cor azul do tornassol.)."
acima,,adverbio,"Situado na parte superior de; em local mais elevado: morava no apartamento acima. | Que se movimenta de maneira ascendente (de baixo para cima): andavam montanha acima. | De maneira anterior e na parte superior de: citacao referida acima. | [Musica] Que tende a ser o mais agudo, em relacao aos demais: tom acima."
acima,,interjeicao,"Modo de se expressar que denota ordem ou estimulo: acima jogadores, o jogo tem que continuar. | [Marinha] Numa embarcacao ou navio a vela, ordem para subir o mastro."
acino,,substantivo masculino,Bago de uva. | [Anatomia] Cada elemento de glandula em cacho. | Massa arredondada no fundo do canal secretor de algumas glandulas.
acoai,,,"Acoai vem do verbo acoar. O mesmo que: ladrai, lati."
acoai,,,Ladrar; soltar latidos: o cao do vizinho acoava a noite.
acoam,,,"Acoam vem do verbo acoar. O mesmo que: ladram, latem."
acoam,,,Ladrar; soltar latidos: o cao do vizinho acoava a noite.
acoar,,verbo intransitivo,Ladrar; soltar latidos: o cao do vizinho acoava a noite.
acoas,,,"Acoas vem do verbo acoar. O mesmo que: ladras, lates."
acoas,,,Ladrar; soltar latidos: o cao do vizinho acoava a noite.
acode,,,"Acode vem do verbo acudir. O mesmo que: auxilia, ajuda, salva, socorre, atende, cura, trata, cuida, ocorre."
acode,,,"Prestar socorro; ajudar alguem: os medicos acudiram-na prontamente. | Atender as necessidades de alguem ou de alguma coisa; cuidar, curar, tratar: estavam sozinhos e sem ninguem para os acudir: acudir a empresa da falencia. | Ir rapidamente na direcao de um lugar ou sair imediatamente do mesmo: acudir a campainha."
acoei,,,"Acoei vem do verbo acoar. O mesmo que: ladrei, lati."
acoei,,,Ladrar; soltar latidos: o cao do vizinho acoava a noite.
acoem,,,Acoem vem do verbo acoar. O mesmo que: ladrem.
acoem,,,Ladrar; soltar latidos: o cao do vizinho acoava a noite.
acoes,,substantivo feminino plural,Ato que resulta de tudo aquilo que se faz: boas acoes. | [Economia] Valores mobiliarios que representam uma parcela do capital de uma sociedade; titulos que garantem aos seus proprietarios ou investidores suas partes nessa sociedade. | Forma de se comportar; comportamento: responder por suas acoes.
acola,,adverbio,"Naquele lugar; num lugar distante da pessoa que fala e daquela com quem se fala; alem, la: minha mae vive acola. | Num lugar longe, a frente: ela nao esta nem aqui nem acola."
acoou,,,"Acoou vem do verbo acoar. O mesmo que: ladrou, latiu."
acoou,,,Ladrar; soltar latidos: o cao do vizinho acoava a noite.
acoro,,substantivo masculino,"[Botanica] Planta dos pantanos, originaria da India e aclimatada na Europa, chamada vulgarmente pimenta-das-abelhas. (Familia das araceas.)."
actel,,,
actol,,substantivo masculino,[Quimica] O lactato de prata como antisseptico.
actor,,,
acuai,,,"Acuai vem do verbo acuar. O mesmo que: persegui, acossai, cacai."
acuai,,,"Perseguir a caca com os caes ate que ela se refugie na mata ou no covil: acuar um veado, uma paca. | [Figurado] Deixar alguem em ma situacao. | Enfurnar, entocar, cercar, perseguir, por alguem na defensiva."
acuam,,,"Acuam vem do verbo acuar. O mesmo que: perseguem, acossam, cacam."
acuam,,,"Perseguir a caca com os caes ate que ela se refugie na mata ou no covil: acuar um veado, uma paca. | [Figurado] Deixar alguem em ma situacao. | Enfurnar, entocar, cercar, perseguir, por alguem na defensiva."
acuar,,verbo transitivo,"Perseguir a caca com os caes ate que ela se refugie na mata ou no covil: acuar um veado, uma paca. | [Figurado] Deixar alguem em ma situacao. | Enfurnar, entocar, cercar, perseguir, por alguem na defensiva."
acuas,,,Acuas e uma palavra derivada de acua.
acuas,,,"O latir do cao. | [Ornitologia] Ave de arribacao; codornizao, rabiscoelha."
acude,,substantivo masculino,"Construcao para represar aguas de rio ou levada; represa, comporta. | [Brasil: Nordeste] Vazante que o lavrador cultiva apos a baixa das aguas."
acudi,,,"Acudi vem do verbo acudir. O mesmo que: auxiliei, auxiliai, ajudai, ajudei, salvei, salvai, socorrei, socorri, atendei."
acudi,,,"Prestar socorro; ajudar alguem: os medicos acudiram-na prontamente. | Atender as necessidades de alguem ou de alguma coisa; cuidar, curar, tratar: estavam sozinhos e sem ninguem para os acudir: acudir a empresa da falencia. | Ir rapidamente na direcao de um lugar ou sair imediatamente do mesmo: acudir a campainha."
acuei,,,"Acuei vem do verbo acuar. O mesmo que: persegui, acossei, cacei."
acuei,,,"Perseguir a caca com os caes ate que ela se refugie na mata ou no covil: acuar um veado, uma paca. | [Figurado] Deixar alguem em ma situacao. | Enfurnar, entocar, cercar, perseguir, por alguem na defensiva."
acuem,,,
acues,,,
